rule,returncode,error
10.1.1.1.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '∅'     |     h > {∅,h}     |          ^     @ Rule 2, Line 3"
10.1.1.2.rsca,1,"Syntax Error: Unknown character ’ at '1:0:17'.     |     h > q / _# (might’ve been a retention?)     |                      ^     @ Rule 2, Line 1"
10.1.1.3.rsca,1,"Syntax Error: Unknown character ’ at '1:0:17'.     |     h > q / _# (might’ve been a retention?)     |                      ^     @ Rule 2, Line 1"
10.1.1.5.rsca,0,
10.1.2.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *T > t     |      ^     @ Rule 2, Line 1"
10.1.2.1.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *j > ɡ / #_     |      ^     @ Rule 2, Line 4"
10.1.2.2.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *j > d / #_     |      ^     @ Rule 2, Line 3"
10.1.2.3.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *D > l     |      ^     @ Rule 2, Line 2"
10.1.2.4.rsca,1,"Syntax Error: Expected '->', but received -'i' at 1:2:35     |     *j > ɡ / possible exception in word-initial position?     |                                        ^     @ Rule 2, Line 3"
10.1.2.5.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *j > ɡ / _#     |      ^     @ Rule 2, Line 2"
10.1.2.6.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *D > d     |      ^     @ Rule 2, Line 1"
10.1.2.7.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *R ɲ > l n     |      ^     @ Rule 2, Line 3"
10.1.2.7.1.rsca,1,"Syntax Error: Unknown character ’ at '1:3:32'.     |     aɪ ai > ɪɪ ii (not sure if there’s a long vowel or hiatus here)     |                                     ^     @ Rule 2, Line 4"
10.1.2.7.2.rsca,1,"Syntax Error: Unknown character ’ at '1:8:25'.     |     s > c& _ (the paper doesn’t explain what this represents)     |                              ^     @ Rule 2, Line 9"
10.1.2.7.3.rsca,1,"Syntax Error: Unknown character ’ at '1:3:32'.     |     aɪ ai > ɪɪ ii (not sure if there’s a long vowel or hiatus here)     |                                     ^     @ Rule 2, Line 4"
10.1.2.8.rsca,1,"Syntax Error: Expected an IPA character, Primative or Matrix, but received '*'     |     {*D,*Z} > d     |      ^     @ Rule 2, Line 1"
10.1.2.9.rsca,1,"Syntax Error: Expected '->', but received -'f' at 1:6:33     |     q > ∅ (not sure what happens word-finally to it)     |                                      ^     @ Rule 2, Line 7"
10.1.2.10.rsca,1,"Syntax Error: The input of an insertion rule must only contain `*` or `∅`     |     *j > r / V_V     |      ^     @ Rule 2, Line 6"
10.2.rsca,1,"Syntax Error: Malformed Comment: Expected ';;', but received '; ' at 1:5:22     |     q > ∅ / #_ (sometimes; “represented by *h in PB”)     |                           ^     @ Rule 2, Line 6"
10.2.1.rsca,1,"Syntax Error: Unknown character ₁ at '1:5:1'.     |     C₁C₂ > C₂     |      ^     @ Rule 2, Line 6"
10.2.2.rsca,1,"Syntax Error: Unknown character ₀ at '1:12:1'.     |     V₀V₀ > V₀     |      ^     @ Rule 2, Line 13"
10.2.3.rsca,1,"Syntax Error: Unknown feature 'APOA' at 11:3-9. Did you mean root?      |     C:[+A POA]C:[+B POA] > C:[+B POA]C:[+B POA]     |        ^^^^^^     @ Rule 2, Line 12"
10.2.3.1.rsca,1,"Syntax Error: Unknown character “ at '1:2:8'.     |     n > ɲ / “in the environment of i (sporadic)”     |             ^     @ Rule 2, Line 3"
10.2.4.rsca,1,"Syntax Error: Unknown character — at '1:2:0'.     |     — aw aj > əw əj / _#     |     ^     @ Rule 2, Line 3"
10.2.4.1.rsca,1,"Syntax Error: Unknown grouping 'R'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel     |     R > ∅     |     ^     @ Rule 2, Line 4"
10.2.4.2.rsca,1,"Syntax Error: Unknown grouping 'R'. Known groupings are (C)onsonant, (O)bstruent, (S)onorant, (P)losive, (F)ricative, (L)iquid, (N)asal, (G)lide, and (V)owel     |     R > ʔ / _#     |     ^     @ Rule 2, Line 5"
