index,name,rule_count
10.3.10.2,Proto-Vanikoro to Tanema,7
10.3.10.3,Proto-Vanikoro to Vano,8
10.3.11,Proto-Oceanic to Proto-Southern Vanuatu,16
10.3.11.1,Proto-Southern Vanuatu to Anejom,27
10.3.11.2,Proto-Southern Vanuatu to Proto-Erromango,9
10.3.11.2.1,Proto-Erromango to Sye,17
10.3.11.2.2,Proto-Erromango to Ura,12
10.3.11.3,Proto-Southern Vanuatu to Proto-Tanna,9
10.3.11.3.1,Proto-Tanna to Kwamera,8
10.3.11.3.2,Proto-Tanna to Lenakel,12
10.3.11.3.3,Proto-Tanna to North Tanna,15
10.3.11.3.4,Proto-Tanna to Southwest Tanna,10
10.3.11.3.5,Proto-Tanna to Whitesands,11
10.3.12,Proto-Oceanic to Vera’a,24
10.4,Micronesian,0
10.4.1,Proto-Micronesian to Marshallese,17
10.5,Proto-Austronesian to Proto-Ongan,14
10.5.1,Proto-Ongan to Jarawa,8
10.5.2,Proto-Ongan to Onge,10
10.6,Proto-Austronesian to Proto-Paiwan,5
10.6.1,Proto-Paiwan to Northern Paiwan,1
10.6.2,Proto-Paiwan to Central Paiwan,1
10.6.3,Proto-Paiwan to Southern Paiwan,1
10.7,Proto-Austronesian to Proto-Rukai,3
10.7.1,Proto-Rukai to Budai Rukai,1
10.8,Proto-Austronesian to Proto-Tsouic,1
11,Northeast Caucasian,0
11.1,Proto-Northeast Caucasian to Proto-Avar-Andic,1
11.1.1,Proto-Avar-Andic to Akhvakh,6
11.1.2,Proto-Avar-Andic to Andi,5
11.1.3,Proto-Avar-Andic to Avar,7
11.2,Proto-Northeast Caucasian to Dargi,5
11.3,Proto-Northeast Caucasian to Khinalug,9
11.4,Proto-Northeast Caucasian to Lak,8
11.5,Proto-Northeast Caucasian to Proto-Lezgic,1
11.5.1,Proto-Lezgic to Agul,7
11.5.2,Proto-Lezgic to Archi,11
11.5.3,Proto-Lezgic to Lezghi,7
11.5.4,Proto-Lezgic to Rutul,8
11.5.5,Proto-Lezgic to Tabassaran,7
11.5.6,Proto-Lezgic to Udi,7
11.6,Proto-Northeast Caucasian to Nakh,9
11.7,Proto-Northeast Caucasian to Proto-Tsezic,6
11.7.1,Proto-Tsezic to Bezhta,0
11.7.2,Proto-Tsezic to Tsez,6
12,Northwest Caucasian,0
12.1,Proto-Northwest Caucasian to Proto-Abazgi,44
12.1.1,Proto-Abazgi to Ashkharywa Abaza,5
12.1.2,Proto-Abazgi to Tapanta Abaza,5
12.1.3,Proto-Abazgi to Ahchypsy Abkhaz,5
12.1.4,Proto-Abazgi to Bzyp Abkhaz,4
12.1.5,Proto-Abazgi to Abzhywa Proper,5
12.1.6,Proto-Abazgi to Tsabal Abzhywa,5
12.1.7,Proto-Abazgi to Khaltsys Sadz,5
12.1.8,Proto-Abazgi to Tswydzhy Sadz,5
12.2,Proto-Northwest Caucasian to Proto-Circassian,41
12.2.1,Proto-Circassian to Adyghe,11
12.2.1.1,Adyghe to Abadzekh Adyghe,8
12.2.1.2,Adyghe to Bzhedug Adyghe,7
12.2.1.3,Adyghe to Shapsug Adyghe,6
12.2.1.4,Adyghe to Temirgoy Adyghe,10
12.2.2,Proto-Circassian to Kabardian,9
12.3,Proto-Northwest Caucasian to Ubykh,40
13,Chumashan,0
13.1,Proto-Chumash to Barbareño,2
13.2,Proto-Chumash to Cruzeño,1
13.3,Proto-Chumash to Inseño,2
13.4,Proto-Chumash to Obispeño,5
13.5,Proto-Chumash to Purisimeño,2
13.6,Proto-Chumash to Ventureño,3
14,Elamo-Dravidian,0
14.1,Proto-Elamo-Dravidian to Proto-Dravidian,19
14.2,Proto-Elamo-Dravidian to Achaemanid Elamite,12
14.3,Tamil,0
14.3.1,Standard Tamil to Colloquial Tamil,32
15,Eskimo-Aleut,0
15.1,Proto-Eskimo-Aleut to Proto-Aleut,18
15.2,Proto-Eskimo-Aleut to Proto-Eskimo,3
15.2.1,Proto-Eskimo to Barrow Iñupiaq,18
15.2.2,Proto-Eskimo to Greenlandic Iñupiaq,21
15.2.3,Proto-Eskimo to Mackenzie Iñupiaq,13
15.2.4,Proto-Eskimo to Wales Iñupiaq,22
15.2.5,Proto-Eskimo to Kuskokwim Yup’ik,23
15.2.6,Proto-Eskimo to Nunivak Yup’ik,25
15.2.7,Proto-Eskimo to Siberian Yup’ik,25
15.2.8,Proto-Eskimo to Unaaliq Yup’ik,25
16,Extended West Papuan,0
16.1,Tabla-Sentani,0
16.1.1,Proto-Tabla-Sentani to Nafri,13
16.1.2,Proto-Tabla-Sentani to Central Sentani,14
16.1.3,Proto-Tabla-Sentani to Eastern Sentani,14
16.1.4,Proto-Tabla-Sentani to Western Sentani,13
16.1.5,Proto-Tabla-Sentani to Tabla,6
17,Indo-European,0
17.1,Albanian,0
17.1.1,Proto-Indo-European to Gheg Albanian,33
17.1.2,Proto-Indo-European to Tosk Albanian,33
17.2,Proto-Indo-European to Common Anatolian,14
17.2.1,Common Anatolian to Hittite,16
17.2.2,Common Anatolian to Luwian,23
17.2.3,Common Anatolian to Lycian,24
17.2.4,Common Anatolian to Lydian,24
17.2.5,Common Anatolian to Palaic,16
17.3,Armenian,0
17.3.1,Proto-Indo-European to Artsakh Armenian,34
17.3.2,Proto-Indo-European to Erevan Armenian,34
17.3.3,Proto-Indo-European to Istanbul Armenian,34
17.3.4,Proto-Indo-European to Kharpert Armenian,34
17.3.5,Proto-Indo-European to Sebastia Armenian,33
17.3.6,Proto-Indo-European to Southeast Armenian,36
17.3.7,Proto-Indo-European to Southwest Armenian,35
17.4,Avestan,0
17.4.1,Proto-Indo-European to Avestan,16
17.5,Proto-Indo-European to Proto-Celtic,25
17.5.1,Proto-Indo-European to Old Irish,60
17.5.2,Proto-Celtic to Middle Welsh,38
17.6,Proto-Indo-European to Dacian,11
17.7,Proto-Indo-European to Common Germanic,13
17.7.1,Common Germanic to Gothic,31
17.7.2,Common Germanic to West Germanic,5
17.7.2.1,West Germanic to Anglo-Frisian,15
17.7.2.1.1,Anglo-Frisian to Old English,4
17.7.2.1.2,Old English to Kentish Middle English,19
17.7.2.1.3,Old English to Midlands Middle English,21
17.7.2.1.4,Midlands Middle English to Early Modern English,12
17.7.2.1.5,Early Modern English to American English,18
17.7.2.1.6,Early Modern English to Australian English,34
17.7.2.1.7,Early Modern English to British English,9
17.7.2.1.8,Old English to Northern Middle English,22
17.7.2.1.9,Early Northern Middle English to Scots,28
17.7.2.1.10,Old English to Scots,55
17.7.2.1.11,Scots to Falkirk Scots,10
17.7.2.1.12,Old English to Southern Middle English,22
17.7.2.1.13,Middle English to Yola,7
17.7.2.1.14,Anglo-Frisian to Old Frisian,4
17.7.2.1.15,North Frisian Lenition,2
17.7.2.2,West Germanic to Old Low Franconian,16
17.7.2.2.1,Old Low Franconian to Middle Dutch,12
17.7.2.2.2,Middle Dutch to Modern Dutch,5
17.7.2.2.3,Modern Dutch to Polder Dutch Vowel Shift,2
17.7.2.2.4,Belgian and Netherlandish Dutch Monophthongization,1
17.7.2.3,Middle High German to Standard German,27
17.7.2.4,High German Cosonant Shift and Umlaut,13
17.7.2.5,West Germanic to Old Low German,13
17.7.3,Common Germanic to Proto-Norse,19
17.7.3.1,Proto-Norse to Old Norse,159
17.7.3.1.1,Old Norse to Early Icelandic,52
17.7.3.1.2,Old Norse to Orkney Norn,67
17.7.3.1.3,Old Norse to Shetland Norn,58
17.7.4,Common Germanic to Vandalic,9
17.8,Greek,0
17.8.1,Proto-Indo-European to Aeolian Greek,14
