section_index,section_name,rule_id,alt_idx,source,whole_ok,failure_class,input_ok,output_ok,env_ok,exception_ok,input_class,output_class,env_class,exception_class,input_description,output_description,env_description,exception_description,blame
6.1.1.4,North Omotic to Maale,Maale-h2,,index_diachronica_original.html:1057,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | h₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-z_2,,index_diachronica_original.html:1066,True,,True,False,True,,,unknown_character,,,,"Syntax Error: Unknown character 'ː' | dʒː | ^ @ Rule 1, Line 1",,,output
6.1.1.5,North Omotic to Shekkacho,Shekkacho-zː,,index_diachronica_original.html:1067,True,,False,False,,,unknown_character,unknown_character,,,"Syntax Error: Unknown character 'ː' | zː | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | dʒː | ^ @ Rule 1, Line 1",,,input|output
6.1.1.5,North Omotic to Shekkacho,Shekkacho-x1,,index_diachronica_original.html:1070,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-x2,,index_diachronica_original.html:1071,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,"Shekkacho-s3,ts,ʒ",,index_diachronica_original.html:1073,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₃' | {s₃,ts,ʒ} | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-s3,,index_diachronica_original.html:1075,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₃' | s₃ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-s3_2,,index_diachronica_original.html:1076,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₃' | s₃ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-s2,,index_diachronica_original.html:1077,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-s2_2,0,index_diachronica_original.html:1078,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-s2_2,1,index_diachronica_original.html:1078,True,,False,False,True,,unknown_character,unknown_character,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1","Syntax Error: Unknown character 'ː' | tʃː | ^ @ Rule 1, Line 1",,,input|output
6.1.1.5,North Omotic to Shekkacho,Shekkacho-h1,0,index_diachronica_original.html:1079,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₁' | h₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-h1,1,index_diachronica_original.html:1079,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₁' | h₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-h2,,index_diachronica_original.html:1080,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | h₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.5,North Omotic to Shekkacho,Shekkacho-dʼ,,index_diachronica_original.html:1083,True,,False,True,,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | dʼ | ^^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-x1,,index_diachronica_original.html:1090,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-x2,,index_diachronica_original.html:1091,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-x2-s3,,index_diachronica_original.html:1092,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ s₃ | ^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-s,,index_diachronica_original.html:1093,True,,True,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₃' | s₃ | ^ @ Rule 1, Line 1",,,output
6.1.1.6,North Omotic to Wolaytta,Wolaytta-s1,,index_diachronica_original.html:1094,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | s₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-s2,,index_diachronica_original.html:1095,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | s₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.6,North Omotic to Wolaytta,Wolaytta-dʼ,,index_diachronica_original.html:1098,True,,False,True,True,,diacritic_prereq,,,,"Syntax Error: Segment does not have prerequisite properties to have this diacritic. Must be [-voice] | dʼ | ^^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-x1,,index_diachronica_original.html:1107,True,,False,True,,,unknown_character,,,,"Syntax Error: Unknown character '₁' | x₁ | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-x2,,index_diachronica_original.html:1108,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
6.1.1.7,North Omotic to Yemsa,Yemsa-x2_2,,index_diachronica_original.html:1109,True,,False,True,True,,unknown_character,,,,"Syntax Error: Unknown character '₂' | x₂ | ^ @ Rule 1, Line 1",,,,input
