,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
92,08F,knee,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,090,leg,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,091,lip,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,094,meat,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,095,mouth,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,096,muscle,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,097,nail / finger nail,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,099,neck,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,09A,nerve,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,09B,nose,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0A2,skin,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,0A4,stomach,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,0A6,tail,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,0A9,throat,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,0AA,thumb,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,0AB,toe,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,0AC,tongue (body-part),body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,0AD,tooth,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,0B0,blood vessel,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0B2,wing (of bird),body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,0B3,wound,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,0B5,berry (small fruit),body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,0B7,flower,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,0B8,fruit,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,0B9,leaf,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,0BA,nut,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0BC,root (of a plant),body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,0BD,seed,body parts and substances,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,0C0,dead,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0C1,birth,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,0C3,healthy,body terms,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0C4,disease,body terms,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
